Time,Channel B,Channel C
(us),(V),(V)

-1.00000000,0.00000000,0.00000000
-0.99800000,0.00000000,0.00000000
-0.99600000,-0.04321481,0.00000000
-0.99400000,0.00000000,0.00000000
-0.99200000,0.00000000,0.00000000
-0.99000000,0.00000000,0.00000000
-0.98800000,0.00000000,0.00000000
-0.98600000,-0.04321481,0.00000000
-0.98400000,0.00000000,0.00000000
-0.98200000,0.00000000,0.00000000
-0.98000000,0.00000000,0.00000000
-0.97800000,0.00000000,0.00000000
-0.97600000,0.00000000,0.00000000
-0.97400000,0.00000000,0.00000000
-0.97200000,0.00000000,0.00000000
-0.97000000,0.00000000,0.00000000
-0.96800000,0.00000000,0.00000000
-0.96600000,0.00000000,0.00000000
-0.96400000,0.00000000,0.00000000
-0.96200000,0.00000000,0.00000000
-0.96000000,0.00000000,0.00000000
-0.95800000,0.00000000,0.00000000
-0.95600000,0.00000000,0.00000000
-0.95400000,-0.04321481,0.00000000
-0.95200000,0.00000000,0.00000000
-0.95000000,0.00000000,0.00000000
-0.94800000,0.00000000,0.00000000
-0.94600000,0.00000000,0.00000000
-0.94400000,0.00000000,0.00000000
-0.94200000,0.00000000,0.00000000
-0.94000000,0.00000000,-0.08612204
-0.93800000,0.00000000,0.00000000
-0.93600000,0.00000000,0.00000000
-0.93400000,0.00000000,0.00000000
-0.93200000,0.00000000,0.00000000
-0.93000000,0.00000000,0.00000000
-0.92800000,0.00000000,0.00000000
-0.92600000,0.00000000,0.00000000
-0.92400000,0.00000000,0.00000000
-0.92200000,-0.04321481,0.00000000
-0.92000000,0.00000000,0.00000000
-0.91800000,0.00000000,0.00000000
-0.91600000,0.00000000,0.00000000
-0.91400000,0.00000000,0.00000000
-0.91200000,0.00000000,0.00000000
-0.91000000,0.00000000,0.00000000
-0.90800000,0.00000000,0.00000000
-0.90600000,0.00000000,0.00000000
-0.90400000,0.00000000,0.00000000
-0.90200000,0.00000000,0.00000000
-0.90000000,0.00000000,0.00000000
-0.89800000,0.00000000,0.00000000
-0.89600000,0.00000000,0.00000000
-0.89400000,0.00000000,0.00000000
-0.89200000,0.04321481,0.00000000
-0.89000000,0.00000000,0.00000000
-0.88800000,0.00000000,0.00000000
-0.88600000,0.00000000,0.00000000
-0.88400000,0.00000000,0.00000000
-0.88200000,0.00000000,0.00000000
-0.88000000,0.00000000,0.00000000
-0.87800000,0.00000000,0.00000000
-0.87600000,0.00000000,0.00000000
-0.87400000,0.00000000,0.00000000
-0.87200000,0.00000000,0.00000000
-0.87000000,-0.04321481,0.00000000
-0.86800000,0.00000000,0.00000000
-0.86600000,0.00000000,0.00000000
-0.86400000,0.00000000,0.00000000
-0.86200000,0.00000000,0.00000000
-0.86000000,0.04321481,0.00000000
-0.85800000,0.00000000,0.00000000
-0.85600000,0.00000000,0.00000000
-0.85400000,0.00000000,0.00000000
-0.85200000,0.00000000,0.00000000
-0.85000000,0.00000000,0.00000000
-0.84800000,0.00000000,0.00000000
-0.84600000,0.00000000,0.00000000
-0.84400000,0.00000000,0.00000000
-0.84200000,0.00000000,0.00000000
-0.84000000,0.00000000,0.00000000
-0.83800000,0.00000000,0.00000000
-0.83600000,0.00000000,0.00000000
-0.83400000,0.00000000,0.00000000
-0.83200000,0.00000000,0.00000000
-0.83000000,0.00000000,0.00000000
-0.82800000,0.00000000,0.00000000
-0.82600000,0.00000000,0.00000000
-0.82400000,0.00000000,0.00000000
-0.82200000,0.00000000,0.00000000
-0.82000000,0.00000000,0.00000000
-0.81800000,0.04321481,0.00000000
-0.81600000,0.00000000,0.00000000
-0.81400000,0.00000000,0.00000000
-0.81200000,0.00000000,0.00000000
-0.81000000,0.00000000,0.00000000
-0.80800000,0.00000000,0.00000000
-0.80600000,0.00000000,0.00000000
-0.80400000,0.00000000,0.00000000
-0.80200000,-0.04321481,0.00000000
-0.80000000,0.00000000,0.00000000
-0.79800000,0.04321481,0.00000000
-0.79600000,-0.04321481,0.00000000
-0.79400000,0.00000000,0.00000000
-0.79200000,0.00000000,0.00000000
-0.79000000,0.00000000,0.00000000
-0.78800000,0.00000000,0.00000000
-0.78600000,0.00000000,0.00000000
-0.78400000,0.00000000,0.00000000
-0.78200000,0.00000000,0.00000000
-0.78000000,0.00000000,0.00000000
-0.77800000,0.00000000,0.00000000
-0.77600000,0.00000000,0.00000000
-0.77400000,0.00000000,0.00000000
-0.77200000,0.00000000,0.00000000
-0.77000000,0.00000000,0.00000000
-0.76800000,0.00000000,0.00000000
-0.76600000,0.00000000,0.00000000
-0.76400000,0.00000000,0.00000000
-0.76200000,0.00000000,0.00000000
-0.76000000,0.00000000,0.00000000
-0.75800000,0.00000000,0.00000000
-0.75600000,0.00000000,0.00000000
-0.75400000,0.00000000,0.00000000
-0.75200000,0.00000000,0.00000000
-0.75000000,0.00000000,0.00000000
-0.74800000,0.00000000,0.00000000
-0.74600000,0.00000000,0.00000000
-0.74400000,0.00000000,0.00000000
-0.74200000,0.00000000,0.00000000
-0.74000000,0.00000000,0.00000000
-0.73800000,0.00000000,0.00000000
-0.73600000,0.00000000,0.00000000
-0.73400000,0.00000000,0.00000000
-0.73200001,0.00000000,0.00000000
-0.73000001,0.00000000,0.00000000
-0.72800001,0.00000000,0.00000000
-0.72600001,0.00000000,0.00000000
-0.72400001,-0.04321481,0.00000000
-0.72200001,0.00000000,0.00000000
-0.72000001,0.00000000,0.00000000
-0.71800001,0.00000000,0.00000000
-0.71600001,0.00000000,0.00000000
-0.71400001,0.00000000,0.00000000
-0.71200001,0.00000000,0.00000000
-0.71000001,0.00000000,0.00000000
-0.70800001,0.00000000,0.00000000
-0.70600001,-0.04321481,0.00000000
-0.70400001,0.00000000,0.00000000
-0.70200001,0.00000000,0.00000000
-0.70000001,0.00000000,0.00000000
-0.69800001,0.00000000,0.00000000
-0.69600001,0.00000000,0.00000000
-0.69400001,0.00000000,0.00000000
-0.69200001,0.00000000,0.00000000
-0.69000001,0.00000000,0.00000000
-0.68800001,0.00000000,0.00000000
-0.68600001,0.00000000,0.00000000
-0.68400001,0.00000000,0.00000000
-0.68200001,-0.04321481,0.00000000
-0.68000001,-0.04321481,0.00000000
-0.67800001,0.00000000,0.00000000
-0.67600001,0.00000000,0.00000000
-0.67400001,0.00000000,0.00000000
-0.67200001,0.00000000,0.00000000
-0.67000001,0.00000000,0.00000000
-0.66800001,0.00000000,0.00000000
-0.66600001,0.00000000,0.00000000
-0.66400001,0.00000000,0.00000000
-0.66200001,0.00000000,0.00000000
-0.66000001,-0.04321481,0.00000000
-0.65800001,-0.04321481,0.00000000
-0.65600001,0.00000000,0.00000000
-0.65400001,0.00000000,0.00000000
-0.65200001,0.04321481,0.00000000
-0.65000001,0.00000000,0.00000000
-0.64800001,0.00000000,0.00000000
-0.64600001,0.00000000,0.00000000
-0.64400001,0.00000000,0.00000000
-0.64200001,0.00000000,0.00000000
-0.64000001,0.00000000,0.00000000
-0.63800001,0.00000000,0.00000000
-0.63600001,0.00000000,0.00000000
-0.63400001,0.00000000,0.00000000
-0.63200001,0.00000000,0.00000000
-0.63000001,0.00000000,0.00000000
-0.62800001,-0.04321481,0.00000000
-0.62600001,0.00000000,0.00000000
-0.62400001,0.00000000,0.00000000
-0.62200001,0.00000000,0.00000000
-0.62000001,0.00000000,0.00000000
-0.61800001,0.00000000,0.00000000
-0.61600001,0.00000000,0.00000000
-0.61400001,0.00000000,0.00000000
-0.61200001,0.00000000,0.00000000
-0.61000001,0.00000000,0.00000000
-0.60800001,0.00000000,0.00000000
-0.60600001,0.00000000,0.00000000
-0.60400001,0.00000000,0.00000000
-0.60200001,0.00000000,0.00000000
-0.60000001,0.00000000,0.00000000
-0.59800001,0.00000000,0.00000000
-0.59600001,0.00000000,0.00000000
-0.59400001,0.00000000,0.00000000
-0.59200001,0.00000000,0.00000000
-0.59000001,0.00000000,0.00000000
-0.58800001,0.00000000,0.00000000
-0.58600001,0.00000000,0.00000000
-0.58400001,-0.04321481,0.00000000
-0.58200001,0.00000000,0.00000000
-0.58000001,0.00000000,0.00000000
-0.57800001,0.00000000,0.00000000
-0.57600001,0.00000000,0.00000000
-0.57400001,0.00000000,0.00000000
-0.57200001,0.00000000,0.00000000
-0.57000001,0.00000000,0.00000000
-0.56800001,0.00000000,0.00000000
-0.56600001,0.00000000,0.00000000
-0.56400001,0.00000000,0.00000000
-0.56200001,0.00000000,0.00000000
-0.56000001,0.00000000,0.00000000
-0.55800001,0.00000000,0.00000000
-0.55600001,0.00000000,0.00000000
-0.55400001,0.00000000,0.00000000
-0.55200001,0.00000000,0.00000000
-0.55000001,0.00000000,0.00000000
-0.54800001,0.00000000,0.00000000
-0.54600001,0.00000000,0.00000000
-0.54400001,0.00000000,0.00000000
-0.54200001,0.00000000,0.00000000
-0.54000001,0.00000000,0.00000000
-0.53800001,0.04321481,0.00000000
-0.53600001,0.00000000,0.00000000
-0.53400001,0.00000000,0.00000000
-0.53200001,0.00000000,0.00000000
-0.53000001,0.00000000,0.00000000
-0.52800001,0.00000000,0.00000000
-0.52600001,0.00000000,0.00000000
-0.52400001,-0.04321481,0.00000000
-0.52200001,0.00000000,0.00000000
-0.52000001,0.00000000,0.00000000
-0.51800001,0.00000000,0.00000000
-0.51600001,0.00000000,0.00000000
-0.51400001,0.00000000,0.00000000
-0.51200001,0.00000000,0.00000000
-0.51000001,0.00000000,0.00000000
-0.50800001,0.00000000,0.00000000
-0.50600001,0.00000000,0.00000000
-0.50400001,0.00000000,0.00000000
-0.50200001,-0.04321481,0.00000000
-0.50000001,0.00000000,0.00000000
-0.49800001,-0.04321481,0.00000000
-0.49600001,0.00000000,0.00000000
-0.49400001,0.00000000,0.00000000
-0.49200001,0.00000000,0.00000000
-0.49000001,0.00000000,0.00000000
-0.48800001,0.00000000,0.00000000
-0.48600001,0.00000000,0.00000000
-0.48400001,0.00000000,0.00000000
-0.48200001,-0.04321481,0.00000000
-0.48000001,0.00000000,0.00000000
-0.47800001,0.00000000,0.00000000
-0.47600001,0.00000000,0.00000000
-0.47400001,0.00000000,0.00000000
-0.47200001,0.04321481,0.00000000
-0.47000001,0.00000000,0.00000000
-0.46800001,-0.04321481,0.00000000
-0.46600001,0.00000000,0.00000000
-0.46400001,0.00000000,0.00000000
-0.46200001,0.00000000,0.00000000
-0.46000001,-0.04321481,0.00000000
-0.45800001,0.00000000,0.00000000
-0.45600001,0.00000000,0.00000000
-0.45400001,0.00000000,0.00000000
-0.45200001,0.00000000,0.00000000
-0.45000001,-0.04321481,0.00000000
-0.44800001,0.00000000,0.00000000
-0.44600001,0.00000000,0.00000000
-0.44400001,0.00000000,0.00000000
-0.44200001,0.00000000,0.00000000
-0.44000001,-0.04321481,0.00000000
-0.43800001,0.00000000,0.00000000
-0.43600001,-0.04321481,0.00000000
-0.43400001,0.00000000,0.00000000
-0.43200001,0.00000000,0.00000000
-0.43000001,0.00000000,0.00000000
-0.42800001,0.00000000,0.00000000
-0.42600001,0.00000000,0.00000000
-0.42400001,-0.04321481,0.00000000
-0.42200001,0.00000000,0.00000000
-0.42000001,0.00000000,0.00000000
